"income","age","education","petition_signed","g"
4,62,5,0,0.139054322540964
5,36,5,0,0.204530984865314
3,62,3,0,0.0637176757645825
2,79,2,0,0.0319493887231453
1,59,3,0,0.0570353212525657
8,46,6,1,0.295053993362526
2,52,1,0,0.0321673890806826
3,39,6,0,0.236294689618194
4,28,6,0,0.283005053560596
4,59,3,0,0.0716200035926592
4,72,5,0,0.122302541582478
10,37,7,0,0.454055133947754
12,19,5,1,0.368292500704186
5,65,7,0,0.26831868650518
6,65,5,0,0.153779043231674
5,72,5,0,0.131277879807758
2,23,3,0,0.100401955117385
4,56,5,0,0.150002134808457
2,18,3,0,0.107268801972655
1,44,7,0,0.265510828319991
3,53,6,0,0.201041985871512
2,70,3,0,0.0528168562259316
10,59,7,0,0.37540415241094
9,69,5,1,0.179310293370632
5,31,5,0,0.216803242672221
5,77,3,0,0.0602723361129388
1,60,6,0,0.161740429518166
2,55,5,1,0.132157618878071
4,70,6,0,0.175132337794342
6,54,5,1,0.176119523542906
9,53,6,0,0.290447450218396
2,32,5,0,0.176179569095023
2,44,4,0,0.108012102387801
3,25,3,0,0.105156726226698
4,61,7,0,0.264013445269609
5,64,3,0,0.0721054620148108
9,35,5,0,0.265210504236727
7,53,6,0,0.258188326027077
2,70,5,0,0.108759925888026
2,65,6,0,0.162729673404992
9,37,6,0,0.341415623242908
6,61,3,0,0.0809581022904395
2,68,5,0,0.111655297755609
10,64,5,0,0.203248820283901
1,62,3,0,0.0546994484591435
4,36,5,0,0.19165229310541
7,35,6,0,0.312241927218036
5,64,3,0,0.0721054620148108
7,58,3,0,0.0907912658061785
3,82,6,0,0.14088691113256
6,63,3,0,0.0787881501993506
3,81,3,0,0.0488942205998948
7,47,5,1,0.204497327759686
8,38,5,1,0.241504542173964
2,81,3,0,0.0452579347668816
4,65,7,1,0.252699418822229
10,42,7,1,0.435826388169022
4,32,3,0,0.103081434513942
9,47,6,0,0.309036103915282
8,83,3,0,0.0696545494413317
7,47,5,0,0.204497327759686
7,78,4,0,0.0990619765576752
4,67,5,0,0.130450044027439
5,72,3,0,0.0645916399144413
3,54,2,0,0.0492219618230234
9,58,6,1,0.275472764637176
4,80,4,0,0.0772358726215218
9,69,3,0,0.0907741895823014
3,90,3,0,0.0430726300952699
5,50,5,0,0.172943972304911
9,44,7,1,0.408844875630091
6,37,6,0,0.288992253501991
3,70,5,0,0.116873760533743
5,32,7,1,0.373795935585054
1,25,5,0,0.179432102651145
3,60,4,0,0.0939499817317657
8,70,7,0,0.302863931160113
2,70,3,0,0.0528168562259316
3,22,6,0,0.284526385649987
7,74,5,0,0.147161416296345
8,60,7,1,0.334910208755789
